"Code";"Name";"Location";"Previous marital law status of females";"Previous marital law status of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"women total";"men total";"2010";228337;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2011";206471;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2012";203850;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2013";180396;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2014";188488;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2015";188832;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2016";193455;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2017";192576;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2018";192443;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2019";183371;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2020";145045;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2021";168324;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2022";155817;"-";"";
0000000;"POLAND";"total";"women total";"men total";"2023";145898;"-";"";
0000000;"POLAND";"total";"women total";"single";"2010";203475;"-";"";
0000000;"POLAND";"total";"women total";"single";"2011";182835;"-";"";
0000000;"POLAND";"total";"women total";"single";"2012";179942;"-";"";
0000000;"POLAND";"total";"women total";"single";"2013";157244;"-";"";
0000000;"POLAND";"total";"women total";"single";"2014";164337;"-";"";
0000000;"POLAND";"total";"women total";"single";"2015";163869;"-";"";
0000000;"POLAND";"total";"women total";"single";"2016";166797;"-";"";
0000000;"POLAND";"total";"women total";"single";"2017";165095;"-";"";
0000000;"POLAND";"total";"women total";"single";"2018";164460;"-";"";
0000000;"POLAND";"total";"women total";"single";"2019";154862;"-";"";
0000000;"POLAND";"total";"women total";"single";"2020";120980;"-";"";
0000000;"POLAND";"total";"women total";"single";"2021";141604;"-";"";
0000000;"POLAND";"total";"women total";"single";"2022";128052;"-";"";
0000000;"POLAND";"total";"women total";"single";"2023";119460;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2010";3317;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2011";3175;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2012";3186;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2013";3072;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2014";3085;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2015";2969;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2016";3114;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2017";3028;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2018";2942;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2019";2949;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2020";2477;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2021";2579;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2022";2700;"-";"";
0000000;"POLAND";"total";"women total";"widowers";"2023";2714;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2010";21545;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2011";20461;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2012";20722;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2013";20080;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2014";21066;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2015";21994;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2016";23544;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2017";24453;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2018";25041;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2019";25560;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2020";21588;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2021";24141;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2022";25065;"-";"";
0000000;"POLAND";"total";"women total";"divorced";"2023";23724;"-";"";
0000000;"POLAND";"total";"single";"men total";"2010";204472;"-";"";
0000000;"POLAND";"total";"single";"men total";"2011";183489;"-";"";
0000000;"POLAND";"total";"single";"men total";"2012";180488;"-";"";
0000000;"POLAND";"total";"single";"men total";"2013";157683;"-";"";
0000000;"POLAND";"total";"single";"men total";"2014";164562;"-";"";
0000000;"POLAND";"total";"single";"men total";"2015";163767;"-";"";
0000000;"POLAND";"total";"single";"men total";"2016";166696;"-";"";
0000000;"POLAND";"total";"single";"men total";"2017";164974;"-";"";
0000000;"POLAND";"total";"single";"men total";"2018";163633;"-";"";
0000000;"POLAND";"total";"single";"men total";"2019";154002;"-";"";
0000000;"POLAND";"total";"single";"men total";"2020";120029;"-";"";
0000000;"POLAND";"total";"single";"men total";"2021";140390;"-";"";
0000000;"POLAND";"total";"single";"men total";"2022";127030;"-";"";
0000000;"POLAND";"total";"single";"men total";"2023";118364;"-";"";
0000000;"POLAND";"total";"single";"single";"2010";193414;"-";"";
0000000;"POLAND";"total";"single";"single";"2011";173280;"-";"";
0000000;"POLAND";"total";"single";"single";"2012";170147;"-";"";
0000000;"POLAND";"total";"single";"single";"2013";147978;"-";"";
0000000;"POLAND";"total";"single";"single";"2014";154359;"-";"";
0000000;"POLAND";"total";"single";"single";"2015";153378;"-";"";
0000000;"POLAND";"total";"single";"single";"2016";155734;"-";"";
0000000;"POLAND";"total";"single";"single";"2017";153821;"-";"";
0000000;"POLAND";"total";"single";"single";"2018";152563;"-";"";
0000000;"POLAND";"total";"single";"single";"2019";142905;"-";"";
0000000;"POLAND";"total";"single";"single";"2020";110980;"-";"";
0000000;"POLAND";"total";"single";"single";"2021";130171;"-";"";
0000000;"POLAND";"total";"single";"single";"2022";116643;"-";"";
0000000;"POLAND";"total";"single";"single";"2023";108715;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2010";631;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2011";580;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2012";605;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2013";615;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2014";602;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2015";579;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2016";622;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2017";588;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2018";555;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2019";498;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2020";473;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2021";455;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2022";499;"-";"";
0000000;"POLAND";"total";"single";"widowers";"2023";495;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2010";10427;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2011";9629;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2012";9736;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2013";9090;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2014";9601;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2015";9810;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2016";10340;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2017";10565;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2018";10515;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2019";10599;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2020";8576;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2021";9764;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2022";9888;"-";"";
0000000;"POLAND";"total";"single";"divorced";"2023";9154;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2010";3913;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2011";3760;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2012";3724;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2013";3546;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2014";3580;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2015";3667;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2016";3843;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2017";3777;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2018";3757;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2019";3992;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2020";3282;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2021";3385;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2022";3687;"-";"";
0000000;"POLAND";"total";"widows";"men total";"2023";3581;"-";"";
0000000;"POLAND";"total";"widows";"single";"2010";1139;"-";"";
0000000;"POLAND";"total";"widows";"single";"2011";984;"-";"";
0000000;"POLAND";"total";"widows";"single";"2012";1068;"-";"";
0000000;"POLAND";"total";"widows";"single";"2013";976;"-";"";
0000000;"POLAND";"total";"widows";"single";"2014";983;"-";"";
0000000;"POLAND";"total";"widows";"single";"2015";1041;"-";"";
0000000;"POLAND";"total";"widows";"single";"2016";1099;"-";"";
0000000;"POLAND";"total";"widows";"single";"2017";1049;"-";"";
0000000;"POLAND";"total";"widows";"single";"2018";1021;"-";"";
0000000;"POLAND";"total";"widows";"single";"2019";1129;"-";"";
0000000;"POLAND";"total";"widows";"single";"2020";902;"-";"";
0000000;"POLAND";"total";"widows";"single";"2021";962;"-";"";
0000000;"POLAND";"total";"widows";"single";"2022";1037;"-";"";
0000000;"POLAND";"total";"widows";"single";"2023";984;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2010";1367;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2011";1368;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2012";1281;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2013";1210;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2014";1181;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2015";1138;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2016";1139;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2017";1103;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2018";1097;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2019";1120;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2020";868;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2021";858;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2022";893;"-";"";
0000000;"POLAND";"total";"widows";"widowers";"2023";905;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2010";1407;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2011";1408;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2012";1375;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2013";1360;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2014";1416;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2015";1488;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2016";1605;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2017";1625;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2018";1639;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2019";1743;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2020";1512;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2021";1565;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2022";1757;"-";"";
0000000;"POLAND";"total";"widows";"divorced";"2023";1692;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2010";19952;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2011";19222;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2012";19638;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2013";19167;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2014";20346;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2015";21398;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2016";22916;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2017";23825;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2018";25053;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2019";25377;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2020";21734;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2021";24549;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2022";25100;"-";"";
0000000;"POLAND";"total";"divorced";"men total";"2023";23953;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2010";8922;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2011";8571;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2012";8727;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2013";8290;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2014";8995;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2015";9450;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2016";9964;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2017";10225;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2018";10876;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2019";10828;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2020";9098;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2021";10471;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2022";10372;"-";"";
0000000;"POLAND";"total";"divorced";"single";"2023";9761;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2010";1319;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2011";1227;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2012";1300;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2013";1247;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2014";1302;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2015";1252;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2016";1353;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2017";1337;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2018";1290;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2019";1331;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2020";1136;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2021";1266;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2022";1308;"-";"";
0000000;"POLAND";"total";"divorced";"widowers";"2023";1314;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2010";9711;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2011";9424;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2012";9611;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2013";9630;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2014";10049;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2015";10696;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2016";11599;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2017";12263;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2018";12887;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2019";13218;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2020";11500;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2021";12812;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2022";13420;"-";"";
0000000;"POLAND";"total";"divorced";"divorced";"2023";12878;"-";"";
