"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"total";"females total";"males total";"2010";228337;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2011";206471;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2012";203850;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2013";180396;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2014";188488;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2015";188832;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2016";193455;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2017";192576;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2018";192443;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2019";183371;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2020";145045;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2021";168324;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2022";155817;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2023";145898;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2010";9007;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2011";7300;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2012";6351;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2013";5047;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2014";4326;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2015";3796;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2016";3161;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2017";2677;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2018";2395;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2019";1999;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2020";1365;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2021";1303;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2022";1073;"-";"";
0000000;"POLAND";"total";"total";"under 20 years";"males total";"2023";964;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2010";79746;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2011";68913;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2012";66827;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2013";55699;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2014";56148;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2015";53308;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2016";51124;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2017";47407;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2018";44627;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2019";38917;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2020";29302;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2021";32045;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2022";27295;"-";"";
0000000;"POLAND";"total";"total";"20-24";"males total";"2023";24581;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2010";89646;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2011";81181;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2012";79944;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2013";69455;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2014";73640;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2015";74328;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2016";76805;"-";"";
0000000;"POLAND";"total";"total";"25-29";"males total";"2017";77540;"-";"";
