,year,gender,ave age
0,1995,female,22.5
1,1995,male,24.9
2,1996,female,22.6
3,1996,male,25.0
4,1997,female,22.8
5,1997,male,25.1
6,1998,female,22.9
7,1998,male,25.3
8,1999,female,23.0
9,1999,male,25.3
10,2000,female,23.3
11,2000,male,25.5
12,2001,female,23.5
13,2001,male,25.8
14,2002,female,23.8
15,2002,male,26.1
16,2003,female,24.1
17,2003,male,26.3
18,2004,female,24.3
19,2004,male,26.5
20,2005,female,24.5
21,2005,male,26.8
22,2006,female,24.8
23,2006,male,27.0
24,2007,female,25.0
25,2007,male,27.2
26,2008,female,25.1
27,2008,male,27.3
28,2009,female,25.4
29,2009,male,27.5
30,2010,female,25.6
31,2010,male,27.8
32,2011,female,25.8
33,2011,male,28.0
34,2012,female,26.0
35,2012,male,28.2
36,2013,female,26.3
37,2013,male,28.5
38,2014,female,26.5
39,2014,male,28.7
40,2015,female,26.7
41,2015,male,28.9
42,2016,female,27.0
43,2016,male,29.2
44,2017,female,27.2
45,2017,male,29.4
46,2018,female,27.5
47,2018,male,29.7
48,2019,female,27.8
49,2019,male,30.0
50,2020,female,28.0
51,2020,male,30.2
52,2021,female,28.2
53,2021,male,30.4
54,2022,female,28.6
55,2022,male,30.8
