,Year,gender,age group,Value,% of total,rank
0,2010,female,+40,13816,0.06050705755090064,4.0
1,2010,female,20-24,79746,0.3492469463994009,2.0
2,2010,female,25-29,89646,0.39260391438969594,1.0
3,2010,female,30-34,26972,0.11812365056911495,3.0
4,2010,female,35-39,9150,0.04007234920315148,5.0
5,2010,female,<20,9007,0.03944608188773611,6.0
6,2010,male,+40,20041,0.08776939348419223,4.0
7,2010,male,20-24,44683,0.19568882835458118,2.0
8,2010,male,25-29,103417,0.45291389481336797,1.0
9,2010,male,30-34,44104,0.19315310265090632,3.0
10,2010,male,35-39,14772,0.06469385163157963,5.0
11,2010,male,<20,1320,0.005780929065372673,6.0
12,2011,female,+40,13882,0.06723462374861361,4.0
13,2011,female,20-24,68913,0.33376600103646514,2.0
14,2011,female,25-29,81181,0.39318354635759983,1.0
15,2011,female,30-34,25874,0.1253154195988783,3.0
16,2011,female,35-39,9321,0.04514435441296841,5.0
17,2011,female,<20,7300,0.03535605484547467,6.0
18,2011,male,+40,19589,0.0948753093654799,4.0
19,2011,male,20-24,37920,0.18365775338909582,3.0
20,2011,male,25-29,92002,0.44559284354703566,1.0
21,2011,male,30-34,41100,0.19905943207520668,2.0
22,2011,male,35-39,14770,0.0715354698722823,5.0
23,2011,male,<20,1090,0.005279191750899642,6.0
24,2012,female,+40,14212,0.06971792985038018,4.0
25,2012,female,20-24,66827,0.32782438067206277,2.0
26,2012,female,25-29,79944,0.39217071376011775,1.0
27,2012,female,30-34,26609,0.13053225410841304,3.0
28,2012,female,35-39,9907,0.04859946038753986,5.0
29,2012,female,<20,6351,0.03115526122148639,6.0
30,2012,male,+40,20318,0.09967132695609517,4.0
31,2012,male,20-24,35828,0.17575668383615403,3.0
32,2012,male,25-29,89905,0.4410350748099092,1.0
33,2012,male,30-34,41502,0.20359087564385578,2.0
34,2012,male,35-39,15386,0.07547706647044396,5.0
35,2012,male,<20,911,0.00446897228354182,6.0
36,2013,female,+40,14558,0.08070023725581499,4.0
37,2013,female,20-24,55699,0.30875961772988314,2.0
38,2013,female,25-29,69455,0.38501408013481453,1.0
39,2013,female,30-34,25736,0.14266391716002572,3.0
40,2013,female,35-39,9901,0.054884808975808774,5.0
41,2013,female,<20,5047,0.027977338743652852,6.0
42,2013,male,+40,20340,0.11275194571941728,4.0
43,2013,male,20-24,29249,0.16213774141333512,3.0
44,2013,male,25-29,76303,0.4229750105323843,1.0
45,2013,male,30-34,38876,0.21550366970442802,2.0
46,2013,male,35-39,14912,0.08266258675358655,5.0
47,2013,male,<20,716,0.003969045876848711,6.0
48,2014,female,+40,15561,0.08255697975467935,4.0
49,2014,female,20-24,56148,0.297886337591783,2.0
50,2014,female,25-29,73640,0.39068800135817666,1.0
51,2014,female,30-34,27908,0.14806247612580112,3.0
52,2014,female,35-39,10905,0.057855141971902724,5.0
53,2014,female,<20,4326,0.022951063197657145,6.0
54,2014,male,+40,21857,0.1159596366877467,4.0
55,2014,male,20-24,28818,0.15289036967870634,3.0
56,2014,male,25-29,78345,0.4156498026399559,1.0
57,2014,male,30-34,42615,0.22608866346929246,2.0
58,2014,male,35-39,16234,0.08612749883281694,5.0
59,2014,male,<20,619,0.0032840286914816857,6.0
60,2015,female,+40,16572,0.08776054905948144,4.0
61,2015,female,20-24,53308,0.28230384680562615,2.0
62,2015,female,25-29,74328,0.39361972547025925,1.0
63,2015,female,30-34,29313,0.15523322318251143,3.0
64,2015,female,35-39,11515,0.060980130486358246,5.0
65,2015,female,<20,3796,0.02010252499576343,6.0
66,2015,male,+40,23014,0.1218755295712591,4.0
67,2015,male,20-24,26884,0.14236993729876293,3.0
68,2015,male,25-29,77580,0.4108413828164718,1.0
69,2015,male,30-34,43761,0.23174567869852566,2.0
70,2015,male,35-39,17068,0.09038722250466023,5.0
71,2015,male,<20,525,0.002780249110320285,6.0
72,2016,female,+40,18591,0.09609986818639994,4.0
73,2016,female,20-24,51124,0.2642681760616164,2.0
74,2016,female,25-29,76805,0.3970173942260474,1.0
75,2016,female,30-34,31202,0.16128815486805717,3.0
76,2016,female,35-39,12572,0.06498668941097413,5.0
77,2016,female,<20,3161,0.016339717246904965,6.0
78,2016,male,+40,25473,0.1316740327207878,3.0
79,2016,male,20-24,25113,0.12981313483755913,4.0
80,2016,male,25-29,77976,0.40307048150732727,1.0
81,2016,male,30-34,46092,0.23825695898270915,2.0
82,2016,male,35-39,18312,0.09465767232689773,5.0
83,2016,male,<20,489,0.002527719624718927,6.0
84,2017,female,+40,19952,0.10360584911930874,4.0
85,2017,female,20-24,47407,0.24617293951478897,2.0
86,2017,female,25-29,77540,0.4026462279827185,1.0
87,2017,female,30-34,31794,0.1650984546360917,3.0
88,2017,female,35-39,13206,0.06857552342971086,5.0
89,2017,female,<20,2677,0.01390100531738119,6.0
90,2017,male,+40,26939,0.13988762878032568,3.0
91,2017,male,20-24,22465,0.11665524260551678,4.0
92,2017,male,25-29,77056,0.4001329345297441,1.0
93,2017,male,30-34,46236,0.24009222333000996,2.0
94,2017,male,35-39,19460,0.1010510136257893,5.0
95,2017,male,<20,420,0.0021809571286141574,6.0
96,2018,female,+40,21217,0.1102508275177585,4.0
97,2018,female,20-24,44627,0.23189723710397364,2.0
98,2018,female,25-29,76997,0.40010288760827883,1.0
99,2018,female,30-34,32788,0.1703777222346357,3.0
100,2018,female,35-39,14419,0.07492608200869869,5.0
101,2018,female,<20,2395,0.012445243526654645,6.0
102,2018,male,+40,28621,0.14872455740141236,3.0
103,2018,male,20-24,20871,0.10845289254480547,4.0
104,2018,male,25-29,75457,0.3921005180754821,1.0
105,2018,male,30-34,46385,0.24103240959660782,2.0
106,2018,male,35-39,20732,0.10773060074931279,5.0
107,2018,male,<20,377,0.001959021632379458,6.0
108,2019,female,+40,22602,0.1232583123830922,4.0
109,2019,female,20-24,38917,0.21223094164289882,2.0
110,2019,female,25-29,72694,0.3964312786645653,1.0
111,2019,female,30-34,31969,0.17434054457902284,3.0
112,2019,female,35-39,15190,0.0828375261082723,5.0
113,2019,female,<20,1999,0.01090139662214854,6.0
114,2019,male,+40,30232,0.16486794531305388,3.0
115,2019,male,20-24,17811,0.09713095309509137,5.0
116,2019,male,25-29,69567,0.3793784186158117,1.0
117,2019,male,30-34,44441,0.24235566147318824,2.0
118,2019,male,35-39,21013,0.11459282002061395,4.0
119,2019,male,<20,307,0.0016742014822409214,6.0
120,2020,female,+40,20202,0.13928091282015925,4.0
121,2020,female,20-24,29302,0.2020200627391499,2.0
122,2020,female,25-29,56258,0.38786583474094244,1.0
123,2020,female,30-34,25351,0.17478024061498157,3.0
124,2020,female,35-39,12567,0.0866420765969182,5.0
125,2020,female,<20,1365,0.009410872487848599,6.0
