"Code";"Name";"Location";"Types of marriages";"Age of females";"Age of males";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"total";"females total";"males total";"2010";228337;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2011";206471;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2012";203850;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2013";180396;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2014";188488;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2015";188832;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2016";193455;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2017";192576;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2018";192443;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2019";183371;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2020";145045;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2021";168324;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2022";155817;"-";"";
0000000;"POLAND";"total";"total";"females total";"males total";"2023";145898;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2010";1320;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2011";1090;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2012";911;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2013";716;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2014";619;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2015";525;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2016";489;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2017";420;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2018";377;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2019";307;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2020";245;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2021";202;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2022";178;"-";"";
0000000;"POLAND";"total";"total";"females total";"under 20 years";"2023";168;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2010";44683;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2011";37920;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2012";35828;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2013";29249;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2014";28818;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2015";26884;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2016";25113;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2017";22465;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2018";20871;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2019";17811;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2020";13425;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2021";14306;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2022";12274;"-";"";
0000000;"POLAND";"total";"total";"females total";"20-24";"2023";10950;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2010";103417;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2011";92002;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2012";89905;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2013";76303;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2014";78345;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2015";77580;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2016";77976;"-";"";
0000000;"POLAND";"total";"total";"females total";"25-29";"2017";77056;"-";"";
