"Code";"Name";"Periods";"Locations";"Sex";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"year";"total";"total";"2010";38529866;"person";"";
0000000;"POLAND";"year";"total";"total";"2011";38538447;"person";"";
0000000;"POLAND";"year";"total";"total";"2012";38533299;"person";"";
0000000;"POLAND";"year";"total";"total";"2013";38495659;"person";"";
0000000;"POLAND";"year";"total";"total";"2014";38478602;"person";"";
0000000;"POLAND";"year";"total";"total";"2015";38437239;"person";"";
0000000;"POLAND";"year";"total";"total";"2016";38432992;"person";"";
0000000;"POLAND";"year";"total";"total";"2017";38433558;"person";"";
0000000;"POLAND";"year";"total";"total";"2018";38411148;"person";"";
0000000;"POLAND";"year";"total";"total";"2019";38382576;"person";"";
0000000;"POLAND";"year";"total";"total";"2020";38088564;"person";"";
0000000;"POLAND";"year";"total";"total";"2021";37907704;"person";"";
0000000;"POLAND";"year";"total";"total";"2022";37766327;"person";"";
0000000;"POLAND";"year";"total";"total";"2023";37636508;"person";"";
0000000;"POLAND";"year";"total";"total";"2024";;"person";"n";
