DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2011,26.2,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2012,26.3,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2013,26.6,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2014,26.7,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2015,26.9,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2016,27.1,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2017,27.3,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2018,27.4,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2019,27.7,
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2020,27.9,ep
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2021,28.0,ep
ESTAT:TPS00014(1.0),05/09/24 23:00:00,A,FAGEMAR1,PL,2022,28.4,b
