DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2001,4.9,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2002,4.9,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2003,4.8,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2004,4.8,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2005,4.8,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2006,4.8,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2007,5.0,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2008,4.8,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2009,4.6,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2010,4.4,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2011,4.2,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2012,4.3,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2013,4.1,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2014,4.2,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2015,4.3,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2016,4.4,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2017,4.4,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2018,4.5,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2019,4.3,
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2020,3.2,e
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2021,3.9,e
ESTAT:DEMO_NIND(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2022,4.2,e
