DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2011,4.2,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2012,4.3,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2013,4.1,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2014,4.2,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2015,4.3,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2016,4.4,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2017,4.4,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2018,4.5,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2019,4.3,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2020,3.2,e
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2021,3.9,e
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,EU27_2020,2022,4.2,e
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2011,5.4,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2012,5.4,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2013,4.7,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2014,5.0,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2015,5.0,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2016,5.1,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2017,5.1,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2018,5.1,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2019,4.8,
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2020,3.8,ep
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2021,4.5,ep
ESTAT:TPS00206(1.0),05/09/24 23:00:00,A,GNUPRT,PL,2022,4.2,
