"Code";"Name";"Age";"Sex";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"under 25 years";"males";"2013";1083;"-";"";
0000000;"POLAND";"under 25 years";"males";"2014";877;"-";"";
0000000;"POLAND";"under 25 years";"males";"2015";762;"-";"";
0000000;"POLAND";"under 25 years";"males";"2016";599;"-";"";
0000000;"POLAND";"under 25 years";"males";"2017";580;"-";"";
0000000;"POLAND";"under 25 years";"males";"2018";438;"-";"";
0000000;"POLAND";"under 25 years";"males";"2019";407;"-";"";
0000000;"POLAND";"under 25 years";"males";"2020";259;"-";"";
0000000;"POLAND";"under 25 years";"males";"2021";301;"-";"";
0000000;"POLAND";"under 25 years";"males";"2022";230;"-";"";
0000000;"POLAND";"under 25 years";"males";"2023";213;"-";"";
0000000;"POLAND";"under 25 years";"females";"2013";3384;"-";"";
0000000;"POLAND";"under 25 years";"females";"2014";2910;"-";"";
0000000;"POLAND";"under 25 years";"females";"2015";2574;"-";"";
0000000;"POLAND";"under 25 years";"females";"2016";2043;"-";"";
0000000;"POLAND";"under 25 years";"females";"2017";1932;"-";"";
0000000;"POLAND";"under 25 years";"females";"2018";1615;"-";"";
0000000;"POLAND";"under 25 years";"females";"2019";1463;"-";"";
0000000;"POLAND";"under 25 years";"females";"2020";975;"-";"";
0000000;"POLAND";"under 25 years";"females";"2021";1066;"-";"";
0000000;"POLAND";"under 25 years";"females";"2022";924;"-";"";
0000000;"POLAND";"under 25 years";"females";"2023";781;"-";"";
0000000;"POLAND";"25-29";"males";"2013";7587;"-";"";
0000000;"POLAND";"25-29";"males";"2014";6795;"-";"";
0000000;"POLAND";"25-29";"males";"2015";6210;"-";"";
0000000;"POLAND";"25-29";"males";"2016";5247;"-";"";
0000000;"POLAND";"25-29";"males";"2017";4732;"-";"";
0000000;"POLAND";"25-29";"males";"2018";4145;"-";"";
0000000;"POLAND";"25-29";"males";"2019";3932;"-";"";
0000000;"POLAND";"25-29";"males";"2020";2838;"-";"";
0000000;"POLAND";"25-29";"males";"2021";3016;"-";"";
0000000;"POLAND";"25-29";"males";"2022";2792;"-";"";
0000000;"POLAND";"25-29";"males";"2023";2486;"-";"";
0000000;"POLAND";"25-29";"females";"2013";11218;"-";"";
0000000;"POLAND";"25-29";"females";"2014";10341;"-";"";
0000000;"POLAND";"25-29";"females";"2015";10020;"-";"";
0000000;"POLAND";"25-29";"females";"2016";8829;"-";"";
0000000;"POLAND";"25-29";"females";"2017";8069;"-";"";
0000000;"POLAND";"25-29";"females";"2018";7122;"-";"";
0000000;"POLAND";"25-29";"females";"2019";6962;"-";"";
0000000;"POLAND";"25-29";"females";"2020";5085;"-";"";
0000000;"POLAND";"25-29";"females";"2021";5562;"-";"";
0000000;"POLAND";"25-29";"females";"2022";5102;"-";"";
0000000;"POLAND";"25-29";"females";"2023";4564;"-";"";
0000000;"POLAND";"30-39";"males";"2013";26055;"-";"";
0000000;"POLAND";"30-39";"males";"2014";26191;"-";"";
0000000;"POLAND";"30-39";"males";"2015";26881;"-";"";
0000000;"POLAND";"30-39";"males";"2016";25244;"-";"";
0000000;"POLAND";"30-39";"males";"2017";25214;"-";"";
0000000;"POLAND";"30-39";"males";"2018";23218;"-";"";
0000000;"POLAND";"30-39";"males";"2019";23360;"-";"";
0000000;"POLAND";"30-39";"males";"2020";17853;"-";"";
0000000;"POLAND";"30-39";"males";"2021";20360;"-";"";
0000000;"POLAND";"30-39";"males";"2022";19542;"-";"";
0000000;"POLAND";"30-39";"males";"2023";17663;"-";"";
0000000;"POLAND";"30-39";"females";"2013";26138;"-";"";
0000000;"POLAND";"30-39";"females";"2014";26661;"-";"";
0000000;"POLAND";"30-39";"females";"2015";27729;"-";"";
0000000;"POLAND";"30-39";"females";"2016";26472;"-";"";
0000000;"POLAND";"30-39";"females";"2017";27223;"-";"";
0000000;"POLAND";"30-39";"females";"2018";25392;"-";"";
0000000;"POLAND";"30-39";"females";"2019";26075;"-";"";
0000000;"POLAND";"30-39";"females";"2020";19941;"-";"";
0000000;"POLAND";"30-39";"females";"2021";23250;"-";"";
0000000;"POLAND";"30-39";"females";"2022";22436;"-";"";
0000000;"POLAND";"30-39";"females";"2023";20703;"-";"";
0000000;"POLAND";"40-49";"males";"2013";17738;"-";"";
0000000;"POLAND";"40-49";"males";"2014";18315;"-";"";
0000000;"POLAND";"40-49";"males";"2015";19550;"-";"";
0000000;"POLAND";"40-49";"males";"2016";19248;"-";"";
0000000;"POLAND";"40-49";"males";"2017";20929;"-";"";
0000000;"POLAND";"40-49";"males";"2018";21267;"-";"";
0000000;"POLAND";"40-49";"males";"2019";22852;"-";"";
0000000;"POLAND";"40-49";"males";"2020";18603;"-";"";
0000000;"POLAND";"40-49";"males";"2021";22711;"-";"";
0000000;"POLAND";"40-49";"males";"2022";22704;"-";"";
0000000;"POLAND";"40-49";"males";"2023";22002;"-";"";
0000000;"POLAND";"40-49";"females";"2013";15146;"-";"";
0000000;"POLAND";"40-49";"females";"2014";15667;"-";"";
0000000;"POLAND";"40-49";"females";"2015";16617;"-";"";
0000000;"POLAND";"40-49";"females";"2016";16470;"-";"";
0000000;"POLAND";"40-49";"females";"2017";18070;"-";"";
0000000;"POLAND";"40-49";"females";"2018";18542;"-";"";
0000000;"POLAND";"40-49";"females";"2019";20163;"-";"";
0000000;"POLAND";"40-49";"females";"2020";16874;"-";"";
0000000;"POLAND";"40-49";"females";"2021";20636;"-";"";
0000000;"POLAND";"40-49";"females";"2022";20922;"-";"";
0000000;"POLAND";"40-49";"females";"2023";20435;"-";"";
0000000;"POLAND";"50 and more";"males";"2013";13669;"-";"";
0000000;"POLAND";"50 and more";"males";"2014";13583;"-";"";
0000000;"POLAND";"50 and more";"males";"2015";13893;"-";"";
0000000;"POLAND";"50 and more";"males";"2016";13159;"-";"";
0000000;"POLAND";"50 and more";"males";"2017";13802;"-";"";
0000000;"POLAND";"50 and more";"males";"2018";13775;"-";"";
0000000;"POLAND";"50 and more";"males";"2019";14790;"-";"";
0000000;"POLAND";"50 and more";"males";"2020";11611;"-";"";
0000000;"POLAND";"50 and more";"males";"2021";14299;"-";"";
0000000;"POLAND";"50 and more";"males";"2022";14894;"-";"";
0000000;"POLAND";"50 and more";"males";"2023";14528;"-";"";
0000000;"POLAND";"50 and more";"females";"2013";10246;"-";"";
0000000;"POLAND";"50 and more";"females";"2014";10182;"-";"";
0000000;"POLAND";"50 and more";"females";"2015";10356;"-";"";
0000000;"POLAND";"50 and more";"females";"2016";9683;"-";"";
0000000;"POLAND";"50 and more";"females";"2017";9963;"-";"";
0000000;"POLAND";"50 and more";"females";"2018";10172;"-";"";
0000000;"POLAND";"50 and more";"females";"2019";10678;"-";"";
0000000;"POLAND";"50 and more";"females";"2020";8289;"-";"";
0000000;"POLAND";"50 and more";"females";"2021";10173;"-";"";
0000000;"POLAND";"50 and more";"females";"2022";10778;"-";"";
0000000;"POLAND";"50 and more";"females";"2023";10409;"-";"";
