"Code";"Name";"Age groups";"Sex";"Value and precision";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"15-24";"females";"numerical data";"1995";23.6;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"1996";23.8;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"1997";24.6;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"1998";25.1;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"1999";22.6;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2000";21.8;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2001";20.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2002";17.9;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2003";17.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2004";17.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2005";18.1;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2006";21.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2007";22.4;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2008";23.7;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2009";23.2;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2010";22.1;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2011";20.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2012";19.9;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2013";19.5;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2014";21.3;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2015";21.3;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2016";23.8;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2017";25.2;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2018";27.0;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2019";27.8;"%";"";
0000000;"POLAND";"15-24";"females";"numerical data";"2020";24.2;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"1995";34.0;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"1996";34.5;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"1997";35.2;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"1998";36.4;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"1999";34.4;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2000";33.5;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2001";32.0;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2002";30.7;"%";"";
0000000;"POLAND";"15-29";"females";"numerical data";"2003";30.8;"%";"";
