"Code";"Name";"Sex";"Age";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"0";"2013";360195;"person";"";
0000000;"POLAND";"total";"0";"2014";366672;"person";"";
0000000;"POLAND";"total";"0";"2015";362130;"person";"";
0000000;"POLAND";"total";"0";"2016";375349;"person";"";
0000000;"POLAND";"total";"0";"2017";394247;"person";"";
0000000;"POLAND";"total";"0";"2018";379505;"person";"";
0000000;"POLAND";"total";"0";"2019";366971;"person";"";
0000000;"POLAND";"total";"0";"2020";343611;"person";"";
0000000;"POLAND";"total";"0";"2021";328809;"person";"";
0000000;"POLAND";"total";"0";"2022";299315;"person";"";
0000000;"POLAND";"total";"0";"2023";266966;"person";"";
0000000;"POLAND";"total";"1";"2013";388703;"person";"";
0000000;"POLAND";"total";"1";"2014";369254;"person";"";
0000000;"POLAND";"total";"1";"2015";374549;"person";"";
0000000;"POLAND";"total";"1";"2016";370902;"person";"";
0000000;"POLAND";"total";"1";"2017";384056;"person";"";
0000000;"POLAND";"total";"1";"2018";403298;"person";"";
0000000;"POLAND";"total";"1";"2019";387747;"person";"";
0000000;"POLAND";"total";"1";"2020";374272;"person";"";
0000000;"POLAND";"total";"1";"2021";349581;"person";"";
0000000;"POLAND";"total";"1";"2022";334114;"person";"";
0000000;"POLAND";"total";"1";"2023";304379;"person";"";
0000000;"POLAND";"total";"2";"2013";396675;"person";"";
0000000;"POLAND";"total";"2";"2014";388928;"person";"";
0000000;"POLAND";"total";"2";"2015";369462;"person";"";
0000000;"POLAND";"total";"2";"2016";375282;"person";"";
0000000;"POLAND";"total";"2";"2017";371673;"person";"";
0000000;"POLAND";"total";"2";"2018";385034;"person";"";
0000000;"POLAND";"total";"2";"2019";404307;"person";"";
0000000;"POLAND";"total";"2";"2020";392348;"person";"";
0000000;"POLAND";"total";"2";"2021";374820;"person";"";
0000000;"POLAND";"total";"2";"2022";349957;"person";"";
0000000;"POLAND";"total";"2";"2023";334484;"person";"";
0000000;"POLAND";"total";"3";"2013";414644;"person";"";
